Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%
p455.stp,1314.0,1314.0,1314.0,272.788,274.477,273.501,0.0,0.0,0.0
p456.stp,1331.0,1331.0,1331.0,1084.482,1089.8,1087.435,19.92,19.92,19.92
p457.stp,1734.0,1734.0,1734.0,1825.504,1898.944,1849.264,15.37,12.25,14.87
p458.stp,1678.0,1678.0,1678.0,835.786,896.938,870.361,3.56,0.0,1.78
p459.stp,2353.0,2383.0,2368.3,5738.464,5988.883,5827.922,28.88,12.21,18.35
p460.stp,2974.0,2991.0,2981.9,4951.699,5100.042,5026.222,11.82,5.02,7.83
p461.stp,4508.0,4585.0,4552.8,41776.921,46583.214,44224.199,25.84,15.51,19.52
p463.stp,1599.0,1599.0,1599.0,7246.36,7652.472,7467.021,30.87,19.0,26.66
p464.stp,2587.0,2649.0,2611.0,17963.662,19839.243,18868.644,22.31,9.53,15.8
p465.stp,3934.0,4086.0,4019.6,75165.805,78418.127,76617.198,28.86,15.31,20.15
p466.stp,6644.0,6817.0,6737.0,515361.511,586774.802,546825.51,23.98,17.55,20.56
berlin52.stp,1037.0,1037.0,1037.0,1390.434,1488.448,1430.383,19.3,11.97,13.88
brasil58.stp,13943.0,14151.0,14058.7,8636.669,9047.622,8837.734,28.09,16.76,21.95
world666.stp,135882.0,138748.0,137603.3,8215382.502,9878071.07,8974409.349,19.87,12.2,16.22
mc13.stp,100.0,100.0,100.0,42463.042,43151.091,42788.179,0.99,0.0,0.59
mc2.stp,77.0,77.0,77.0,17251.667,17364.454,17292.826,0.0,0.0,0.0
mc3.stp,45.0,45.0,45.0,3195.117,3209.373,3201.089,0.0,0.0,0.0
p401.stp,166.0,166.0,166.0,495.234,497.826,496.741,0.0,0.0,0.0
p402.stp,149.0,149.0,149.0,660.094,664.08,661.438,0.0,0.0,0.0
p403.stp,225.0,225.0,225.0,536.109,540.52,537.633,0.0,0.0,0.0
p404.stp,275.0,275.0,275.0,2109.001,2491.827,2247.936,1.08,1.08,1.08
p405.stp,283.0,283.0,283.0,2206.312,2281.128,2251.486,5.03,0.0,0.5
p406.stp,261.0,261.0,261.0,977.863,981.327,979.317,0.0,0.0,0.0
p407.stp,590.0,592.0,590.2,10120.403,11088.968,10686.519,7.96,2.8,6.34
p408.stp,538.0,539.0,538.8,8040.7,9013.327,8424.374,8.97,3.92,6.51
p409.stp,963.0,983.0,972.1,33252.149,35411.389,34040.958,10.07,3.46,6.67
p410.stp,989.0,997.0,992.9,30227.549,31942.775,30909.858,7.94,3.21,5.8
antiwheel5.stp,7.0,7.0,7.0,25.385,25.578,25.482,0.0,0.0,0.0
design432.stp,8.0,8.0,8.0,12.523,12.738,12.607,0.0,0.0,0.0
oddcycle3.stp,3.0,3.0,3.0,9.446,9.863,9.526,0.0,0.0,0.0
oddwheel3.stp,4.0,4.0,4.0,9.253,9.328,9.291,0.0,0.0,0.0
se03.stp,8.0,8.0,8.0,15.99,16.282,16.062,0.0,0.0,0.0
w13c29.stp,544.0,552.0,548.6,2617152.265,2810153.824,2712669.322,3.55,1.08,2.43
w23c23.stp,745.0,751.0,747.9,4517244.123,4836152.088,4681590.877,3.87,2.21,3.33
ER-001.stp,385.0,385.0,385.0,89.654,90.736,90.322,0.0,0.0,0.0
