Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%,Runs_Completed
ER-157.stp,291.0,291.0,291.0,2981240.134,2981240.134,2981240.134,5.83,5.83,5.83,1
ER-158.stp,267.0,267.0,267.0,3479812.069,3479812.069,3479812.069,9.49,9.49,9.49,1
ER-159.stp,240.0,240.0,240.0,3183584.636,3183584.636,3183584.636,9.77,9.77,9.77,1
ER-161.stp,221.0,221.0,221.0,3171006.902,3171006.902,3171006.902,13.33,13.33,13.33,1
ER-162.stp,225.0,225.0,225.0,3422537.48,3422537.48,3422537.48,8.91,8.91,8.91,1
ER-163.stp,607.0,607.0,607.0,2323517.721,2323517.721,2323517.721,6.9,6.9,6.9,1
ER-164.stp,386.0,386.0,386.0,2956935.957,2956935.957,2956935.957,12.47,12.47,12.47,1
ER-165.stp,336.0,336.0,336.0,3154511.07,3154511.07,3154511.07,7.95,7.95,7.95,1
ER-166.stp,284.0,284.0,284.0,3254124.416,3254124.416,3254124.416,8.39,8.39,8.39,1
ER-167.stp,271.0,271.0,271.0,3387415.837,3387415.837,3387415.837,10.86,10.86,10.86,1
ER-168.stp,262.0,262.0,262.0,3190425.438,3190425.438,3190425.438,12.96,12.96,12.96,1
ER-171.stp,229.0,229.0,229.0,3282976.606,3282976.606,3282976.606,13.26,13.26,13.26,1
ER-172.stp,576.0,576.0,576.0,2828860.529,2828860.529,2828860.529,8.72,8.72,8.72,1
ER-173.stp,403.0,403.0,403.0,3074451.049,3074451.049,3074451.049,6.5,6.5,6.5,1
ER-174.stp,326.0,326.0,326.0,3463276.605,3463276.605,3463276.605,7.12,7.12,7.12,1
es100fst01.stp,73553279.0,74443475.0,74147831.7,49241.363,55559.756,52041.663,4.35,1.48,2.68,10
es100fst02.stp,76663801.0,77245648.0,77023689.1,91870.66,101455.932,95205.197,4.6,1.58,3.27,10
es100fst03.stp,73206241.0,73607321.0,73430019.3,26080.083,27886.76,26966.717,4.08,0.17,2.14,10
es100fst04.stp,74932915.0,75415200.0,75194890.2,23206.245,24375.699,23895.634,4.89,1.02,2.82,10
es100fst05.stp,75519564.0,76115982.0,75918044.3,33844.563,39251.532,37219.423,3.07,0.65,1.89,10
es100fst06.stp,76070919.0,76763713.0,76374028.8,69465.276,82525.88,76900.213,5.96,3.02,4.22,10
es100fst07.stp,79121351.0,80038869.0,79466590.2,52262.131,56683.587,54332.051,5.5,3.25,4.14,10
es100fst08.stp,72752649.0,73344288.0,73022777.6,31224.841,32922.352,32137.586,5.79,3.01,4.54,10
es100fst09.stp,78729317.0,79659287.0,79250175.9,37674.16,40692.973,39062.829,4.87,2.16,3.63,10
es100fst10.stp,75685143.0,76434330.0,76091239.3,35109.464,39447.296,37405.763,5.04,1.49,2.8,10
es100fst11.stp,79305935.0,80066088.0,79648465.2,49772.86,55073.939,52089.936,3.48,0.26,1.92,10
es100fst12.stp,77288426.0,77954596.0,77612938.0,59446.237,67328.269,63199.205,4.78,1.92,3.06,10
