Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%,Runs_Completed
ER-174.stp,322.0,322.0,322.0,2513233.325,2513233.325,2513233.325,10.56,10.56,10.56,1
ER-175.stp,292.0,292.0,292.0,2898387.053,2898387.053,2898387.053,16.09,16.09,16.09,1
ER-176.stp,282.0,282.0,282.0,2953076.285,2953076.285,2953076.285,11.88,11.88,11.88,1
ER-177.stp,267.0,267.0,267.0,3108116.766,3108116.766,3108116.766,13.31,13.31,13.31,1
ER-178.stp,259.0,259.0,259.0,3168514.018,3168514.018,3168514.018,14.24,14.24,14.24,1
ER-179.stp,246.0,246.0,246.0,3443650.35,3443650.35,3443650.35,11.19,11.19,11.19,1
ER-180.stp,240.0,240.0,240.0,3507324.558,3507324.558,3507324.558,14.59,14.59,14.59,1
es100fst01.stp,72709476.0,73169008.0,72948780.0,71720.742,77150.045,73564.344,7.58,3.14,5.37,10
es100fst02.stp,76056411.0,76316694.0,76193257.3,112288.818,118798.668,115770.332,5.98,2.62,4.47,10
es100fst03.stp,72784377.0,72809251.0,72794326.6,48840.772,50145.684,49704.716,4.57,1.73,3.15,10
es100fst04.stp,74485770.0,74523694.0,74499533.1,33663.263,35448.149,34569.134,6.14,1.75,3.92,10
es100fst05.stp,75484292.0,75619345.0,75508832.5,54711.849,57636.263,56382.336,4.19,2.08,2.84,10
es100fst06.stp,74464826.0,75149396.0,74842775.5,81549.165,87652.965,85136.342,8.22,5.27,7.16,10
es100fst07.stp,78255665.0,78696744.0,78454635.7,70465.508,77080.887,74627.181,6.71,3.21,5.12,10
es100fst08.stp,72483810.0,72860436.0,72716659.5,47882.633,49834.152,48964.208,6.15,2.15,4.44,10
es100fst09.stp,78028136.0,78229903.0,78136117.9,71471.786,74503.849,72837.996,5.49,3.24,4.5,10
es100fst10.stp,75359581.0,75668810.0,75529085.2,57871.61,60246.96,59055.761,5.25,3.09,3.91,10
es100fst11.stp,78848883.0,79122561.0,78991428.8,69177.228,73537.124,70849.942,4.79,2.52,3.36,10
es100fst12.stp,76718737.0,76928946.0,76806278.7,79636.795,86436.678,82455.889,7.0,3.02,4.83,10
es100fst13.stp,75025586.0,75266220.0,75135175.3,87361.171,94288.302,90521.394,5.47,3.36,4.31,10
es100fst14.stp,78685620.0,78810891.0,78737410.2,44627.435,48332.16,46505.869,4.9,1.2,3.58,10
es100fst15.stp,70881426.0,71049680.0,70997135.1,67508.185,71317.013,70062.908,5.05,1.96,3.86,10
es10fst01.stp,22459211.0,22459211.0,22459211.0,59.594,61.866,60.764,4.71,0.0,3.29,10
es10fst02.stp,19134104.0,19134104.0,19134104.0,52.365,52.656,52.509,0.0,0.0,0.0,10
es10fst03.stp,26003678.0,26003678.0,26003678.0,93.322,93.912,93.558,8.09,1.86,4.98,10
es10fst04.stp,20380220.0,20380220.0,20380220.0,53.907,54.355,54.079,0.0,0.0,0.0,10
es10fst05.stp,18818916.0,18818916.0,18818916.0,35.23,35.931,35.451,0.0,0.0,0.0,10
es10fst06.stp,25371472.0,25371472.0,25371472.0,55.448,56.429,55.729,0.0,0.0,0.0,10
es10fst07.stp,26025072.0,26025072.0,26025072.0,39.663,40.045,39.737,0.0,0.0,0.0,10
es10fst08.stp,24336484.0,24336484.0,24336484.0,87.921,88.305,88.132,1.7,1.7,1.7,10
es10fst09.stp,22083210.0,22083210.0,22083210.0,118.263,123.751,120.24,2.16,0.0,0.95,10
es10fst10.stp,24239614.0,24239614.0,24239614.0,63.03,63.552,63.303,0.0,0.0,0.0,10
es10fst11.stp,22239535.0,22239535.0,22239535.0,43.462,44.313,43.644,0.0,0.0,0.0,10
es10fst12.stp,18323756.0,18323756.0,18323756.0,36.655,37.004,36.809,0.0,0.0,0.0,10
es10fst13.stp,19483914.0,19483914.0,19483914.0,76.897,81.923,79.239,6.26,0.0,3.76,10
es10fst14.stp,19426974.0,19426974.0,19426974.0,100.745,102.918,101.686,3.49,0.0,1.74,10
es10fst15.stp,17322283.0,17322283.0,17322283.0,43.998,44.395,44.206,5.82,0.0,2.33,10
es20fst01.stp,32079858.0,32079858.0,32079858.0,185.898,187.673,186.71,0.0,0.0,0.0,10
es20fst02.stp,31710535.0,31710535.0,31710535.0,209.215,210.759,209.81,0.0,0.0,0.0,10
es20fst03.stp,27847417.0,27847417.0,27847417.0,186.835,188.453,187.64,0.0,0.0,0.0,10
es20fst04.stp,27678054.0,27679074.0,27678972.0,866.336,917.33,896.76,11.28,1.35,5.34,10
es20fst05.stp,34040324.0,34079691.0,34044260.7,769.311,783.369,777.344,11.26,3.42,7.52,10
es20fst06.stp,35756604.0,35756604.0,35756604.0,177.881,179.572,178.744,0.0,0.0,0.0,10
es20fst07.stp,34622517.0,34622517.0,34622517.0,522.453,575.154,543.649,7.46,0.68,2.28,10
es20fst08.stp,38016346.0,38165281.0,38075920.0,727.651,785.559,754.63,6.48,3.06,4.25,10
es20fst09.stp,33021098.0,33021098.0,33021098.0,213.927,218.118,215.731,5.75,0.0,1.15,10
es20fst10.stp,34135715.0,34135715.0,34135715.0,836.649,905.042,873.59,8.76,0.69,6.12,10
es20fst11.stp,27123908.0,27123908.0,27123908.0,284.003,295.095,289.822,1.1,0.0,0.42,10
es20fst12.stp,30412561.0,30412561.0,30412561.0,409.405,439.132,422.253,6.13,0.0,2.16,10
es20fst13.stp,34438673.0,34438673.0,34438673.0,277.383,292.055,285.847,2.86,0.0,0.59,10
es20fst14.stp,34166194.0,34166194.0,34166194.0,647.865,672.817,660.915,3.98,0.47,2.06,10
es20fst15.stp,32303746.0,32303746.0,32303746.0,377.924,397.698,389.231,0.96,0.39,0.51,10
es250fst01.stp,117409921.0,117612832.0,117523175.5,762413.36,780153.09,771965.62,5.32,3.29,4.42,4
es250fst02.stp,115985179.0,116093793.0,116044622.3333,1112073.572,1114751.591,1113704.247,3.81,3.17,3.57,3
es250fst03.stp,115414007.0,115648791.0,115552773.25,831080.613,853860.84,847904.238,5.61,2.77,4.0,4
es250fst04.stp,119058382.0,119167224.0,119112803.0,1308142.28,1358135.585,1333138.933,3.91,3.6,3.75,2
es250fst05.stp,118345573.0,118849988.0,118637212.3333,988955.281,1016953.356,1004939.574,4.75,2.46,3.61,3
es250fst06.stp,117620533.0,117784709.0,117712966.3333,945493.773,960935.446,952053.499,4.77,3.53,4.24,3
es250fst07.stp,115736890.0,115783660.0,115760275.0,1192206.395,1249267.839,1220737.117,3.98,2.39,3.19,2
es250fst08.stp,118491885.0,118748387.0,118620136.0,1494681.169,1504350.384,1499515.777,4.56,4.12,4.34,2
es250fst09.stp,117988711.0,118185866.0,118117214.6667,1099952.803,1136333.63,1121045.493,3.34,2.0,2.84,3
es250fst10.stp,117843377.0,117868247.0,117855812.0,1195528.856,1201314.246,1198421.551,3.81,3.75,3.78,2
es250fst11.stp,113785564.0,114039451.0,113944547.3333,1010339.334,1026630.399,1015819.897,4.46,3.15,3.67,3
es250fst12.stp,120250774.0,120398306.0,120310387.0,1141357.674,1158497.052,1150739.86,4.65,3.62,4.12,3
es250fst13.stp,117327644.0,117346243.0,117336943.5,1254579.446,1271562.125,1263070.785,6.36,5.07,5.71,2
es250fst14.stp,117576291.0,117652473.0,117614382.0,1200942.635,1228959.87,1214951.252,5.69,3.37,4.53,2
es250fst15.stp,116635385.0,116661366.0,116648375.5,1667476.99,1676924.16,1672200.575,4.41,3.45,3.93,2
es30fst01.stp,40882139.0,40943374.0,40935195.6,2196.791,2327.834,2266.344,6.32,2.5,3.77,10
es30fst02.stp,40900061.0,40934903.0,40924450.4,1778.28,1817.958,1798.979,6.1,1.64,3.48,10
es30fst03.stp,43216239.0,43271308.0,43225555.3,2296.431,2464.648,2404.052,9.36,2.78,5.93,10
es30fst04.stp,42167858.0,42190100.0,42178357.4,3602.86,3800.128,3699.879,10.44,2.22,7.3,10
es30fst05.stp,41804918.0,42203810.0,41981990.7,1772.573,1840.746,1809.182,7.59,1.56,3.76,10
es30fst06.stp,39889606.0,39938101.0,39918703.0,2587.23,2722.644,2679.41,9.29,1.96,5.01,10
es30fst07.stp,43761391.0,43761391.0,43761391.0,1328.368,1365.586,1349.448,7.08,0.0,3.72,10
es30fst08.stp,40858519.0,40858519.0,40858519.0,1839.643,1982.699,1901.107,9.23,5.0,7.02,10
es30fst09.stp,36827296.0,36827296.0,36827296.0,916.225,952.945,935.617,4.01,0.68,1.29,10
es30fst10.stp,42686610.0,42686610.0,42686610.0,857.625,887.096,867.324,1.49,0.31,0.74,10
es30fst11.stp,41695817.0,41695817.0,41695817.0,2428.743,2529.308,2484.206,8.18,0.66,4.46,10
es30fst12.stp,38416720.0,38416720.0,38416720.0,576.07,585.387,580.934,1.52,0.0,0.42,10
es30fst13.stp,37406646.0,37635491.0,37572110.2,1518.262,1629.566,1583.182,11.74,2.45,5.75,10
