Instância;|V|;|E|;|T|;D_G;C_T
alut0787.stp;1160;2089;34;0,003108;0,02931
alut2625.stp;36711;68117;880;0,000101;0,023971
alut2610.stp;33901;62816;204;0,000109;0,006018
alut2566.stp;5021;9055;68;0,000718;0,013543
alut2010.stp;6104;11011;68;0,000591;0,01114
alut2764.stp;387;626;34;0,008381;0,087855
alut2288.stp;9070;16595;68;0,000403;0,007497
alut1181.stp;3041;5693;64;0,001232;0,021046
alut0805.stp;966;1666;34;0,003574;0,035197
diw0559.stp;3738;7013;18;0,001004;0,004815
diw0313.stp;468;822;14;0,007522;0,029915
diw0473.stp;2213;4135;26;0,001689;0,011749
diw0778.stp;7231;13727;24;0,000525;0,003319
diw0795.stp;3221;5938;10;0,001145;0,003105
diw0779.stp;11821;22516;50;0,000322;0,00423
diw0540.stp;286;465;10;0,01141;0,034965
diw0523.stp;1080;2015;10;0,003458;0,009259
diw0250.stp;353;608;12;0,009786;0,033994
diw0513.stp;918;1684;10;0,004001;0,010893
diw0460.stp;339;579;14;0,010106;0,041298
diw0495.stp;938;1655;10;0,003766;0,010661
diw0819.stp;10553;20066;32;0,00036;0,003032
diw0487.stp;2414;4386;26;0,001506;0,010771
diw0260.stp;539;985;12;0,006794;0,022263
diw0393.stp;212;381;12;0,017035;0,056604
diw0234.stp;5349;10086;26;0,000705;0,004861
diw0445.stp;1804;3311;34;0,002036;0,018847
diw0801.stp;3023;5575;10;0,001221;0,003308
diw0459.stp;3636;6789;26;0,001027;0,007151
diw0820.stp;11749;22384;38;0,000324;0,003234
lin15.stp;840;1484;34;0,004211;0,040476
lin31.stp;19100;35653;40;0,000195;0,002094
lin34.stp;38282;71521;34;9,8e-05;0,000888
lin04.stp;157;266;6;0,021721;0,038217
lin07.stp;307;526;6;0,011198;0,019544
lin14.stp;828;1472;22;0,004299;0,02657
lin01.stp;53;80;4;0,058055;0,075472
lin29.stp;19083;35636;24;0,000196;0,001258
lin03.stp;57;84;8;0,052632;0,140351
lin02.stp;55;82;6;0,055219;0,109091
lin06.stp;165;274;14;0,020251;0,084848
lin20.stp;3675;6709;12;0,000994;0,003265
lin11.stp;816;1460;10;0,004391;0,012255
lin26.stp;8013;14749;30;0,000459;0,003744
lin05.stp;160;269;10;0,021148;0,0625
lin37.stp;38418;71657;172;9,7e-05;0,004477
lin27.stp;8017;14753;36;0,000459;0,00449
lin36.stp;38307;71546;58;9,8e-05;0,001514
lin22.stp;3692;6726;28;0,000987;0,007584
lin09.stp;313;532;12;0,010895;0,038339
lin35.stp;38294;71533;46;9,8e-05;0,001201
lin12.stp;818;1462;12;0,004375;0,01467
lin13.stp;822;1466;16;0,004345;0,019465
lin08.stp;311;530;10;0,010995;0,032154
lin28.stp;8062;14798;82;0,000455;0,010171
lin19.stp;2010;3662;42;0,001814;0,020896
lin17.stp;1989;3641;20;0,001842;0,010055
lin10.stp;321;540;20;0,010514;0,062305
lin21.stp;3683;6717;20;0,000991;0,00543
lin24.stp;7998;14734;16;0,000461;0,002001
lin25.stp;8007;14743;24;0,00046;0,002997
lin30.stp;19091;35644;32;0,000196;0,001676
lin32.stp;19112;35665;54;0,000195;0,002825
lin23.stp;3716;6750;52;0,000978;0,013994
lin18.stp;1994;3646;26;0,001835;0,013039
lin16.stp;1981;3633;12;0,001852;0,006058
lin33.stp;19177;35730;118;0,000194;0,006153
alue7080.stp;34479;55494;2344;9,3e-05;0,067983
alue6457.stp;3932;6137;68;0,000794;0,017294
alue2105.stp;1220;1858;34;0,002499;0,027869
alue5067.stp;3524;5560;68;0,000896;0,019296
alue7066.stp;6405;10454;16;0,00051;0,002498
alue6179.stp;3372;5213;68;0,000917;0,020166
alue3146.stp;3626;5869;64;0,000893;0,01765
alue6735.stp;4119;6696;68;0,00079;0,016509
alue5901.stp;11543;18429;68;0,000277;0,005891
alue7065.stp;34046;54841;544;9,5e-05;0,015978
alue6951.stp;2818;4419;68;0,001113;0,024131
alue7229.stp;940;1474;34;0,00334;0,03617
alue5345.stp;5179;8165;68;0,000609;0,01313
alue5623.stp;4472;6938;68;0,000694;0,015206
alue2087.stp;1244;1971;34;0,002549;0,027331
wrp4-19.stp;119;206;20;0,029341;0,168067
wrp4-53.stp;615;1232;54;0,006525;0,087805
wrp4-68.stp;917;1850;68;0,004405;0,074155
wrp4-47.stp;555;1098;48;0,007142;0,086486
wrp4-46.stp;632;1287;46;0,006454;0,072785
wrp4-32.stp;311;632;32;0,013111;0,102894
wrp4-17.stp;223;404;18;0,016321;0,080717
wrp4-66.stp;844;1691;66;0,004753;0,078199
wrp4-50.stp;564;1112;50;0,007004;0,088652
wrp4-26.stp;396;781;26;0,009986;0,065657
wrp4-30.stp;361;724;30;0,011142;0,083102
wrp4-60.stp;693;1370;60;0,005714;0,08658
wrp4-56.stp;839;1617;56;0,0046;0,066746
wrp4-63.stp;1121;2227;64;0,003548;0,057092
wrp4-15.stp;193;369;16;0,019916;0,082902
wrp4-43.stp;596;1148;44;0,006475;0,073826
wrp4-69.stp;574;1165;70;0,007084;0,121951
wrp4-11.stp;123;233;12;0,031054;0,097561
wrp4-55.stp;610;1201;56;0,006466;0,091803
wrp4-14.stp;145;283;14;0,027107;0,096552
wrp4-13.stp;110;188;14;0,031359;0,127273
wrp4-34.stp;314;650;34;0,013227;0,10828
wrp4-48.stp;451;825;48;0,00813;0,10643
