Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%
p455.stp,1314.0,1314.0,1314.0,190.623,199.413,192.129,0.0,0.0,0.0
p456.stp,1662.0,1662.0,1662.0,250.264,252.151,251.078,0.0,0.0,0.0
p457.stp,1939.0,1939.0,1939.0,640.096,654.047,645.835,5.37,0.0,4.34
p458.stp,1678.0,1678.0,1678.0,403.428,419.045,406.626,3.56,0.0,1.07
p459.stp,2373.0,2440.0,2416.8,2768.325,2881.513,2826.474,22.49,7.68,13.7
p460.stp,3003.0,3138.0,3064.4,2126.97,2179.276,2148.422,10.73,0.41,6.67
p461.stp,4559.0,4615.0,4591.7,25042.233,25948.12,25530.208,24.23,12.98,19.12
p463.stp,1707.0,1707.0,1707.0,2719.963,2841.495,2778.312,26.2,13.53,20.56
p464.stp,2622.0,2682.0,2645.5,9099.277,9645.506,9294.498,27.1,8.57,15.39
p465.stp,3947.0,4056.0,4008.6,40410.921,42983.338,41447.047,26.41,15.18,21.23
p466.stp,6538.0,6650.0,6609.2,364903.314,385594.517,373086.375,25.44,19.86,22.67
berlin52.stp,1129.0,1129.0,1129.0,652.656,700.159,671.948,6.54,4.16,4.45
brasil58.stp,14862.0,15303.0,15019.2,3977.257,4247.867,4101.6,25.33,10.38,19.62
world666.stp,135484.0,139044.0,137277.2,4953956.983,5377630.973,5125361.518,18.66,14.44,16.89
mc13.stp,100.0,100.0,100.0,35498.356,35773.238,35617.811,0.99,0.0,0.69
mc2.stp,77.0,77.0,77.0,14582.895,14918.992,14647.751,0.0,0.0,0.0
mc3.stp,45.0,45.0,45.0,2908.063,2918.198,2912.447,0.0,0.0,0.0
p401.stp,166.0,166.0,166.0,197.393,198.362,197.733,0.0,0.0,0.0
p402.stp,149.0,149.0,149.0,191.921,193.112,192.159,0.0,0.0,0.0
p403.stp,225.0,225.0,225.0,240.178,242.187,241.016,0.0,0.0,0.0
p404.stp,278.0,278.0,278.0,750.728,765.222,756.991,4.79,0.0,2.4
p405.stp,283.0,283.0,283.0,983.969,1010.76,997.859,5.03,0.0,2.52
p406.stp,261.0,261.0,261.0,468.343,475.358,470.541,0.0,0.0,0.0
p407.stp,597.0,599.0,598.8,4729.499,5081.19,4920.18,10.46,0.0,6.03
p408.stp,547.0,547.0,547.0,3797.379,4002.408,3875.54,7.45,1.26,4.33
p409.stp,975.0,985.0,980.5,21250.84,22759.074,22113.275,8.96,3.07,5.94
p410.stp,990.0,1005.0,996.6,18379.801,19095.241,18792.968,7.99,0.99,4.93
antiwheel5.stp,7.0,7.0,7.0,21.651,21.831,21.711,0.0,0.0,0.0
design432.stp,8.0,8.0,8.0,5.759,5.937,5.821,0.0,0.0,0.0
oddcycle3.stp,3.0,3.0,3.0,4.52,4.599,4.566,0.0,0.0,0.0
oddwheel3.stp,4.0,4.0,4.0,4.968,5.089,5.012,0.0,0.0,0.0
se03.stp,8.0,8.0,8.0,5.336,5.448,5.382,0.0,0.0,0.0
w13c29.stp,528.0,533.0,530.8,3069112.404,3205967.379,3118026.603,7.53,5.18,6.12
w23c23.stp,723.0,728.0,725.4,4844081.429,5026628.724,4941044.784,7.54,4.72,6.47
ER-001.stp,385.0,385.0,385.0,47.445,48.781,48.062,0.0,0.0,0.0
ER-002.stp,140.0,140.0,140.0,84.189,85.264,84.855,0.0,0.0,0.0
ER-003.stp,118.0,118.0,118.0,198.811,206.461,201.775,7.81,0.0,4.89
ER-004.stp,64.0,64.0,64.0,117.728,120.832,119.55,0.0,0.0,0.0
ER-005.stp,117.0,117.0,117.0,262.805,265.618,263.938,0.0,0.0,0.0
ER-006.stp,76.0,76.0,76.0,359.599,362.26,360.761,0.0,0.0,0.0
ER-007.stp,46.0,46.0,46.0,345.703,347.791,346.544,0.0,0.0,0.0
ER-008.stp,69.0,69.0,69.0,480.821,489.759,485.931,8.0,4.17,6.85
ER-009.stp,38.0,38.0,38.0,320.673,323.179,321.643,0.0,0.0,0.0
ER-010.stp,323.0,323.0,323.0,506.617,529.199,516.831,4.72,0.0,1.37
ER-011.stp,246.0,247.0,246.4,1580.79,1652.146,1609.637,10.87,6.46,8.15
ER-012.stp,166.0,168.0,167.3,2996.939,3148.087,3057.715,12.17,5.08,7.27
ER-013.stp,134.0,135.0,134.1,2201.361,2293.07,2261.952,8.84,0.74,6.48
ER-014.stp,91.0,91.0,91.0,2146.772,2238.305,2188.406,11.65,1.09,5.76
ER-015.stp,89.0,89.0,89.0,2239.324,2333.874,2294.924,6.32,0.0,3.22
ER-016.stp,80.0,80.0,80.0,3074.899,3221.721,3145.633,6.98,0.0,3.34
ER-017.stp,72.0,73.0,72.1,2847.034,2952.762,2890.946,6.49,2.7,4.61
ER-018.stp,55.0,56.0,55.6,2234.582,2321.14,2279.811,11.29,5.08,7.29
ER-019.stp,406.0,410.0,407.7,3087.69,3256.753,3162.189,14.14,1.21,6.47
ER-020.stp,232.0,233.0,232.2,5539.011,5816.092,5664.715,6.83,1.28,4.44
ER-021.stp,122.0,123.0,122.5,5958.1,6348.444,6154.423,10.29,3.15,7.36
ER-022.stp,105.0,105.0,105.0,7988.158,8526.273,8296.301,8.7,2.78,5.95
ER-023.stp,95.0,96.0,95.9,7365.567,7679.689,7497.511,12.04,3.03,5.73
ER-024.stp,111.0,111.0,111.0,9750.729,9970.81,9863.756,11.9,3.48,6.01
ER-025.stp,76.0,77.0,76.2,6275.211,6324.49,6293.756,7.32,2.56,5.56
ER-026.stp,77.0,78.0,77.7,8963.506,9263.795,9162.217,14.29,6.02,10.12
ER-027.stp,62.0,62.0,62.0,6863.078,6994.364,6903.471,13.89,3.12,7.12
ER-028.stp,361.0,364.0,362.9,12128.723,12975.952,12548.375,14.39,6.2,10.07
ER-029.stp,202.0,204.0,203.1,14426.897,14787.828,14603.322,12.45,5.99,9.11
ER-030.stp,165.0,167.0,166.4,22409.142,23879.053,23134.836,16.5,5.68,10.8
ER-031.stp,143.0,145.0,144.3,22046.973,23008.503,22469.266,9.43,2.68,7.05
ER-032.stp,153.0,156.0,154.4,21994.398,23100.614,22554.468,8.93,1.91,6.16
ER-033.stp,111.0,112.0,111.8,24928.633,25901.84,25378.978,11.11,5.93,8.33
ER-034.stp,109.0,111.0,110.4,29534.009,30991.217,30040.584,15.38,8.26,11.74
ER-035.stp,84.0,87.0,85.9,17103.401,17797.488,17504.31,11.46,3.33,7.39
ER-036.stp,80.0,82.0,81.1,23538.345,24125.381,23749.333,12.9,5.75,9.04
ER-037.stp,404.0,407.0,406.0,20842.844,21885.728,21216.884,16.15,7.5,10.6
ER-038.stp,225.0,227.0,225.7,23124.126,24151.157,23675.742,12.06,5.44,9.71
ER-039.stp,188.0,190.0,189.1,27990.09,29979.995,29321.26,10.9,4.04,7.18
ER-040.stp,161.0,163.0,161.6,46693.488,48272.67,47319.412,16.15,2.98,11.39
ER-041.stp,138.0,140.0,139.8,30805.179,31287.639,31011.476,8.5,4.76,6.16
ER-042.stp,103.0,104.0,103.6,27895.068,28553.197,28269.929,9.65,1.89,5.76
ER-043.stp,113.0,115.0,113.8,46695.724,49412.896,48187.668,14.39,10.24,12.24
ER-044.stp,94.0,96.0,95.0,39473.192,40739.923,39977.268,12.96,4.0,8.32
ER-045.stp,102.0,104.0,102.8,43347.522,44511.232,43983.963,10.53,4.63,7.43
ER-046.stp,405.0,409.0,406.6,30604.901,32559.303,31332.29,9.4,2.39,4.38
ER-047.stp,284.0,288.0,286.7,53094.588,55923.542,54275.076,9.18,2.37,5.1
ER-048.stp,189.0,195.0,192.6,62722.547,65303.916,63940.129,13.39,3.98,9.47
ER-049.stp,159.0,160.0,159.5,77695.937,79757.961,78563.377,13.98,6.47,9.22
