Instance,Time_Best_ms
i160-031.stp,97.903
i080-035.stp,98.011
i080-013.stp,102.159
i080-031.stp,102.574
i080-014.stp,103.361
i080-022.stp,108.896
i080-111.stp,111.784
i080-045.stp,114.571
i080-114.stp,116.513
b01.stp,117.472
i080-021.stp,121.859
i080-145.stp,127.51
i080-113.stp,127.907
i080-121.stp,130.343
i080-044.stp,131.243
i080-112.stp,132.455
i080-134.stp,133.517
i080-102.stp,133.907
i080-142.stp,134.45
i080-143.stp,137.869
i160-005.stp,143.94
i080-125.stp,144.023
i080-123.stp,145.863
i080-122.stp,146.107
i080-104.stp,146.468
i160-043.stp,146.607
i160-033.stp,148.108
i080-115.stp,148.207
i160-013.stp,153.286
i160-004.stp,153.433
i080-124.stp,158.265
i080-144.stp,161.376
i160-011.stp,163.544
i080-133.stp,168.751
b05.stp,169.734
i160-032.stp,172.2
i080-001.stp,184.004
i160-014.stp,184.195
i080-141.stp,187.983
i160-015.stp,188.398
b04.stp,191.036
i320-003.stp,197.927
i160-001.stp,205.301
i080-101.stp,205.708
i320-033.stp,209.693
i160-034.stp,219.112
i080-135.stp,222.93
i160-002.stp,227.645
i320-004.stp,230.137
i080-103.stp,231.04
i160-012.stp,231.184
b07.stp,231.68
i080-002.stp,239.202
i320-032.stp,240.599
i160-003.stp,241.747
i080-213.stp,245.665
es20fst09.stp,247.185
i320-011.stp,257.886
p603.stp,265.243
i160-022.stp,265.924
i320-005.stp,266.254
es20fst03.stp,266.582
i160-115.stp,270.314
i320-035.stp,273.999
i160-024.stp,279.874
i160-025.stp,279.902
i160-021.stp,280.019
es20fst13.stp,281.128
es20fst02.stp,283.038
p621.stp,286.046
i080-202.stp,288.86
i320-012.stp,291.125
p604.stp,298.513
i640-033.stp,298.935
i640-032.stp,299.562
i160-041.stp,302.911
i320-014.stp,304.695
i640-004.stp,306.48
i160-044.stp,306.698
p613.stp,307.739
i160-023.stp,310.141
i080-231.stp,310.167
i160-143.stp,310.276
i320-013.stp,322.325
i320-015.stp,323.569
i160-135.stp,326.019
i080-214.stp,340.075
i080-232.stp,349.114
i320-034.stp,351.182
c11.stp,352.907
b02.stp,353.426
i080-033.stp,356.617
i320-031.stp,359.785
i080-212.stp,361.353
i080-215.stp,365.304
i080-245.stp,365.398
i160-045.stp,367.949
c06.stp,368.494
b10.stp,370.201
i080-241.stp,375.431
es20fst12.stp,376.971
i160-111.stp,386.119
i160-103.stp,391.224
i640-031.stp,391.81
i080-211.stp,396.853
i080-243.stp,398.095
i160-042.stp,405.112
i080-242.stp,405.606
i320-001.stp,408.306
i320-043.stp,411.045
i080-315.stp,414.654
i080-225.stp,417.704
i080-234.stp,419.875
es20fst11.stp,420.823
i640-002.stp,426.273
i320-002.stp,426.516
i160-113.stp,432.509
i080-221.stp,432.975
es20fst15.stp,434.516
p619.stp,434.632
i080-223.stp,439.395
i080-224.stp,441.488
i080-201.stp,448.931
i160-112.stp,450.398
i080-222.stp,450.558
i080-205.stp,453.946
i080-244.stp,460.816
i080-203.stp,468.682
i080-342.stp,478.502
i640-003.stp,478.82
i160-141.stp,483.476
es20fst14.stp,500.505
b08.stp,500.807
i160-102.stp,502.321
i080-204.stp,504.309
b11.stp,509.177
i080-341.stp,516.282
b03.stp,519.302
i080-331.stp,519.931
p602.stp,528.875
i160-134.stp,530.835
i080-233.stp,535.919
i160-105.stp,536.506
i640-034.stp,537.815
i080-314.stp,540.388
i080-345.stp,541.199
i160-124.stp,541.997
i160-122.stp,543.133
i160-123.stp,545.952
i080-335.stp,549.919
i160-121.stp,555.74
i320-133.stp,566.101
i160-132.stp,567.058
i160-145.stp,567.709
i640-013.stp,575.131
i160-142.stp,581.187
i320-044.stp,581.234
i320-022.stp,585.683
i640-011.stp,585.823
i320-023.stp,588.714
p622.stp,589.679
i160-131.stp,589.935
i160-101.stp,592.066
i160-125.stp,593.845
b13.stp,598.55
i160-144.stp,603.629
d01.stp,612.014
i080-303.stp,612.558
i160-035.stp,619.073
i640-014.stp,622.523
i080-325.stp,622.597
i640-035.stp,624.602
i080-321.stp,628.04
i080-322.stp,630.212
i080-324.stp,634.208
i080-323.stp,635.778
b14.stp,639.717
i080-311.stp,643.123
i160-104.stp,643.335
c07.stp,644.795
i320-021.stp,667.365
i320-041.stp,674.011
es20fst07.stp,679.831
i080-343.stp,680.19
i320-024.stp,680.641
i320-131.stp,683.541
es30fst12.stp,684.909
i080-344.stp,687.365
i160-234.stp,694.035
i320-025.stp,696.435
c02.stp,697.283
i160-133.stp,708.238
i080-305.stp,711.419
i080-313.stp,721.826
i080-302.stp,727.187
i080-333.stp,732.557
i640-001.stp,733.35
i320-042.stp,734.006
i080-235.stp,738.594
i160-114.stp,739.583
d06.stp,786.792
i320-113.stp,792.58
p623.stp,803.588
es30fst09.stp,830.793
i320-114.stp,836.095
i160-231.stp,844.773
i080-332.stp,857.22
d11.stp,865.874
e01.stp,870.581
d12.stp,870.881
es30fst14.stp,889.465
i320-045.stp,910.008
i320-103.stp,914.494
es20fst05.stp,921.081
es30fst10.stp,939.272
e06.stp,954.815
i640-015.stp,968.189
i640-012.stp,968.658
i320-115.stp,980.535
es20fst08.stp,981.977
i080-312.stp,992.51
d16.stp,996.055
i320-111.stp,998.574
es20fst10.stp,998.883
i320-102.stp,1003.988
i160-215.stp,1007.066
i320-112.stp,1033.587
es30fst07.stp,1040.094
b16.stp,1046.162
b06.stp,1061.361
i160-214.stp,1061.996
i080-301.stp,1066.35
i160-211.stp,1070.161
i320-132.stp,1081.161
i160-213.stp,1087.483
i160-212.stp,1132.218
c12.stp,1152.78
d07.stp,1155.06
es20fst04.stp,1202.714
b17.stp,1215.671
p607.stp,1234.098
c17.stp,1259.799
c16.stp,1272.021
i080-304.stp,1274.89
i160-235.stp,1315.144
d02.stp,1342.569
i640-005.stp,1361.485
i160-244.stp,1381.501
b09.stp,1398.393
p606.stp,1400.92
p605.stp,1444.937
es40fst04.stp,1445.767
e11.stp,1447.475
i080-334.stp,1510.984
e02.stp,1533.368
es30fst05.stp,1537.902
i320-134.stp,1547.22
i160-204.stp,1550.76
e07.stp,1565.575
i160-241.stp,1570.145
i320-105.stp,1627.588
i160-243.stp,1665.914
i320-101.stp,1672.9
i160-221.stp,1679.719
i160-223.stp,1690.208
i160-222.stp,1694.883
es30fst13.stp,1703.774
i160-242.stp,1706.031
i160-225.stp,1728.881
i320-104.stp,1728.943
es40fst07.stp,1795.757
i160-224.stp,1806.55
i160-245.stp,1817.085
es30fst02.stp,1860.115
i160-205.stp,1884.239
i160-202.stp,1983.369
i640-111.stp,1987.145
i320-144.stp,1993.934
es30fst11.stp,2014.567
i640-021.stp,2017.715
i640-044.stp,2017.906
i640-041.stp,2029.472
p625.stp,2043.293
e16.stp,2051.844
i160-232.stp,2064.873
es40fst13.stp,2075.873
p624.stp,2078.846
i160-314.stp,2101.619
i640-045.stp,2104.121
d17.stp,2127.395
i320-141.stp,2148.188
i320-122.stp,2150.603
i160-201.stp,2182.15
i320-213.stp,2197.761
p405.stp,2206.312
p626.stp,2218.416
i320-124.stp,2223.572
es40fst06.stp,2240.785
i320-135.stp,2256.595
i160-233.stp,2261.68
p608.stp,2264.463
es30fst01.stp,2267.724
i320-145.stp,2269.4
i640-043.stp,2290.388
i640-133.stp,2298.159
i640-025.stp,2307.496
i320-211.stp,2314.539
i320-123.stp,2319.404
i160-203.stp,2351.102
i320-121.stp,2371.41
i320-125.stp,2383.15
i640-023.stp,2390.33
i640-042.stp,2414.739
i640-115.stp,2495.574
es30fst08.stp,2516.728
es40fst12.stp,2603.11
p630.stp,2607.904
i640-112.stp,2623.406
i320-142.stp,2629.175
i320-143.stp,2635.624
i160-313.stp,2665.432
i320-212.stp,2689.071
b12.stp,2773.923
es40fst01.stp,2823.285
i640-113.stp,2824.653
i160-315.stp,2873.478
i640-114.stp,2899.774
b15.stp,2930.39
i640-024.stp,2967.915
i640-022.stp,2974.823
p609.stp,3020.095
i160-311.stp,3043.577
es40fst03.stp,3065.204
lin08.stp,3088.698
e12.stp,3095.87
es30fst06.stp,3167.322
mc3.stp,3195.117
es30fst03.stp,3312.353
i640-132.stp,3409.87
lin09.stp,3440.964
i320-215.stp,3443.767
es50fst08.stp,3454.577
i320-214.stp,3494.766
es30fst04.stp,3556.277
es40fst02.stp,3604.529
i160-345.stp,3692.886
es40fst15.stp,3732.733
ER-016.stp,3737.543
i160-312.stp,3778.658
i640-134.stp,3925.682
i160-332.stp,3931.671
ER-011.stp,3943.339
i160-344.stp,4027.713
i160-341.stp,4033.656
es50fst13.stp,4038.132
i160-303.stp,4083.335
ER-015.stp,4109.717
ER-014.stp,4121.088
i160-343.stp,4122.855
es40fst14.stp,4152.776
es40fst10.stp,4162.49
e17.stp,4198.568
i160-335.stp,4241.746
i640-105.stp,4245.796
i640-135.stp,4277.786
i160-325.stp,4301.007
i160-322.stp,4307.817
i160-321.stp,4322.711
i160-323.stp,4377.54
i160-324.stp,4395.351
ER-018.stp,4407.895
es40fst08.stp,4473.913
i160-333.stp,4480.557
es40fst11.stp,4545.54
ER-017.stp,4647.439
es50fst11.stp,4687.164
i160-342.stp,4717.091
i320-204.stp,4728.204
i320-235.stp,4775.829
es30fst15.stp,4778.816
i320-245.stp,4912.273
p460.stp,4951.699
i320-205.stp,4966.444
i160-305.stp,4981.365
b18.stp,5043.688
es50fst04.stp,5049.29
i160-334.stp,5056.122
es50fst05.stp,5134.245
ER-012.stp,5164.903
i160-301.stp,5206.511
i160-304.stp,5210.212
i320-203.stp,5235.863
i320-232.stp,5259.333
i320-202.stp,5264.382
p614.stp,5294.719
i640-104.stp,5299.867
i160-302.stp,5320.651
i640-101.stp,5335.457
ER-019.stp,5339.407
wrp3-23.stp,5350.81
i320-233.stp,5369.841
es50fst01.stp,5429.87
i320-231.stp,5432.629
diw0313.stp,5491.775
i160-331.stp,5575.744
es50fst12.stp,5694.37
p459.stp,5738.464
i320-201.stp,5865.904
i320-241.stp,5980.274
i320-244.stp,5996.619
es40fst09.stp,6074.567
i320-242.stp,6097.893
i640-131.stp,6142.2
es60fst08.stp,6152.949
es50fst15.stp,6193.195
p631.stp,6255.82
i640-102.stp,6332.846
diw0513.stp,6461.464
i320-222.stp,6570.32
es60fst11.stp,6573.937
i320-243.stp,6697.186
es60fst14.stp,6732.566
p612.stp,6740.983
i320-225.stp,6772.674
i320-234.stp,6778.653
i640-144.stp,6782.831
i320-224.stp,6954.901
i320-221.stp,6981.166
i320-223.stp,7040.66
wrp3-19.stp,7098.507
es50fst06.stp,7143.059
es50fst14.stp,7147.831
es60fst15.stp,7174.002
lin12.stp,7215.778
p463.stp,7246.36
es60fst06.stp,7457.088
i640-143.stp,7606.938
es40fst05.stp,7652.872
i640-213.stp,7742.714
i640-103.stp,7818.968
i640-141.stp,7955.554
es60fst01.stp,7987.824
p629.stp,8029.315
p408.stp,8040.7
p628.stp,8348.056
es60fst03.stp,8362.396
wrp3-20.stp,8377.791
i640-145.stp,8524.014
i640-214.stp,8575.276
brasil58.stp,8636.669
i640-122.stp,8689.014
es60fst05.stp,8771.549
i640-211.stp,8777.208
i640-212.stp,8786.632
i640-124.stp,8800.898
wrp4-17.stp,8951.122
p627.stp,9029.188
p611.stp,9057.312
es50fst07.stp,9204.711
wrp4-18.stp,9291.419
i640-142.stp,9320.453
i640-121.stp,9395.033
diw0260.stp,9441.371
i640-125.stp,9469.876
ER-020.stp,9481.01
ER-027.stp,9562.71
es50fst02.stp,9700.668
i640-215.stp,9723.49
es50fst09.stp,9899.659
wrp4-15.stp,10069.147
i640-123.stp,10079.034
p407.stp,10120.403
p610.stp,10174.098
lin10.stp,10211.882
es60fst10.stp,10345.322
es50fst10.stp,10446.539
es70fst12.stp,10590.409
ER-021.stp,10837.464
es50fst03.stp,10946.831
ER-022.stp,11033.944
es70fst01.stp,11092.593
