Instance,Winner_by_AvgCost,GRASP_Cost_Best,GRASP_Cost_Worst,GRASP_Cost_Avg,HUB_Cost_Best,HUB_Cost_Worst,HUB_Cost_Avg,GRASP_Time_Best_ms,GRASP_Time_Worst_ms,GRASP_Time_Avg_ms,HUB_Time_Best_ms,HUB_Time_Worst_ms,HUB_Time_Avg_ms,GRASP_Improvement_Best_%,GRASP_Improvement_Worst_%,GRASP_Improvement_Avg_%,HUB_Improvement_Best_%,HUB_Improvement_Worst_%,HUB_Improvement_Avg_%
es100fst05.stp,HUB,75753009.0,76088705.0,75938545.4,75484292.0,75499308.0,75497806.4,36236.484,39572.281,37217.518,54407.108,56569.841,55574.492,3.02,0.68,1.72,4.22,1.82,2.85
es100fst07.stp,HUB,79256666.0,79877636.0,79544597.8,78192187.0,78758618.0,78418791.0,52144.502,56322.064,54077.333,73873.655,76236.03,75163.523,5.7,2.62,4.04,7.13,4.07,5.25
es100fst09.stp,HUB,78999519.0,79565666.0,79339298.2,78001247.0,78288088.0,78126200.2,37016.749,39288.581,38327.958,71174.705,73923.661,72316.611,5.08,1.3,3.29,5.3,2.51,3.79
es100fst10.stp,HUB,75688138.0,76173045.0,76050647.8,75437673.0,75689774.0,75540691.8,35080.039,39053.065,37415.962,56194.744,61928.436,58871.88,5.6,1.32,3.47,5.56,2.11,3.56
es100fst13.stp,HUB,75770801.0,76272687.0,76004696.2,74897304.0,75282206.0,75142333.3,50586.837,54657.024,51901.51,86595.243,92053.597,88894.936,3.88,1.92,3.18,4.89,2.9,4.07
es30fst01.stp,HUB,41312287.0,41312287.0,41312287.0,40716208.0,40943374.0,40915333.8,2223.822,2396.15,2306.883,2196.233,2315.325,2254.688,4.1,1.35,2.74,4.77,1.31,3.86
es30fst09.stp,TIE,36827296.0,36827296.0,36827296.0,36827296.0,36827296.0,36827296.0,822.025,861.189,834.509,914.4,958.936,933.753,2.15,0.68,0.84,6.47,0.0,1.98
es30fst13.stp,GRASP,37406646.0,37736615.0,37501091.0,37406646.0,37635491.0,37501427.2,1751.925,1916.968,1803.786,1538.079,1624.472,1584.008,11.43,1.01,6.14,9.65,2.86,5.45
es30fst14.stp,TIE,42897025.0,42897025.0,42897025.0,42897025.0,42897025.0,42897025.0,887.028,914.543,898.792,773.037,782.889,779.082,0.35,0.0,0.09,0.22,0.0,0.06
es30fst15.stp,HUB,40603229.0,41167021.0,40865610.4,40512872.0,40797764.0,40679038.2,5036.736,5375.393,5224.356,2823.005,3028.561,2940.742,10.55,3.16,8.18,12.71,2.85,7.69
